,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,lon,lat
104215,"Grønnegade 77, 2. TH",8000 Aarhus C,613000,1992-07-27,Alm. Salg,8283.0,3.0,Lejlighed,74.0,1917.0,0.0,10.201138,56.15956
104216,"Fynsgade 25, 1",8000 Aarhus C,664000,1992-07-26,Alm. Salg,6845.0,4.0,Lejlighed,97.0,1898.0,0.0,10.200897,56.163755
104217,"Samsøgade 82, 3. TV",8000 Aarhus C,350000,1992-07-21,Alm. Salg,6862.0,2.0,Lejlighed,51.0,1900.0,0.0,10.200317,56.16195
104218,Sjællandsgade 127,8000 Aarhus C,460000,1992-07-13,Alm. Salg,1722.0,11.0,Villa,267.0,1892.0,0.0,10.202999,56.163909
104219,"Søndre Ringgade 35, 4. TH",8000 Aarhus C,657000,1992-07-03,Alm. Salg,6378.0,4.0,Lejlighed,103.0,1934.0,0.0,10.190313,56.142988
104220,"Banegårdsgade 1, 4. 33",8000 Aarhus C,185000,1992-07-01,Alm. Salg,4743.0,1.0,Lejlighed,39.0,1956.0,0.0,10.200121,56.150661
104221,"Silkeborgvej 110, ST. TV",8000 Aarhus C,418500,1992-06-30,Alm. Salg,6642.0,2.0,Lejlighed,63.0,1935.0,0.0,10.180817,56.156809
104222,"Thunøgade 7B, ST",8000 Aarhus C,776900,1992-06-28,Alm. Salg,6474.0,4.0,Lejlighed,120.0,1895.0,0.0,10.206526,56.161426
104223,"Vestervang 10, 7. 1074",8000 Aarhus C,896118,1992-06-24,Alm. Salg,6310.0,5.0,Lejlighed,142.0,1970.0,0.0,10.193003,56.162353
104224,"Nørregade 8, 3. TV",8000 Aarhus C,420000,1992-06-24,Alm. Salg,4565.0,4.0,Lejlighed,92.0,1922.0,0.0,10.210724,56.161763
104225,"Brammersgade 2, 2. TH",8000 Aarhus C,753000,1992-06-19,Alm. Salg,6783.0,4.0,Lejlighed,111.0,1893.0,0.0,10.202544,56.147048
104226,"Sjællandsgade 84, ST",8000 Aarhus C,558500,1992-06-12,Alm. Salg,7756.0,3.0,Lejlighed,72.0,1892.0,0.0,10.205554,56.162981
104227,Sjællandsgade 62A,8000 Aarhus C,350000,1992-06-09,Alm. Salg,,3.0,Villa,99.0,1891.0,0.0,10.207138,56.162265
104228,Oddervej 17,8000 Aarhus C,800000,1992-06-05,Alm. Salg,4102.0,5.0,Villa,195.0,1936.0,0.0,10.209899,56.126233
104229,"Hans Broges Gade 33, ST",8000 Aarhus C,715000,1992-06-02,Alm. Salg,6441.0,4.0,Lejlighed,111.0,1905.0,0.0,10.20452,56.143403
104230,"Skt. Pauls Gade 7, KL. TV",8000 Aarhus C,30000,1992-06-02,Alm. Salg,333.0,2.0,Lejlighed,90.0,1901.0,0.0,,
104231,"Hendrik Pontoppidans Gade 6, ST. TV",8000 Aarhus C,485000,1992-05-29,Alm. Salg,8083.0,2.0,Lejlighed,60.0,1906.0,0.0,10.205369,56.144949
104232,Sjællandsgade 59,8000 Aarhus C,800000,1992-05-27,Fam. Salg,4651.0,7.0,Villa,172.0,1879.0,0.0,10.206597,56.162338
104233,"Vestergade 39, 2. TH",8000 Aarhus C,165500,1992-05-25,Andet,1504.0,3.0,Lejlighed,110.0,1876.0,0.0,10.2017573,56.1574799
104234,"Møllevejen 25, 2. TV",8000 Aarhus C,574000,1992-05-22,Alm. Salg,,2.0,Lejlighed,84.0,1969.0,0.0,10.194435,56.15914
104235,Birketinget 12,8000 Aarhus C,1458000,1992-05-20,Alm. Salg,6627.0,7.0,Villa,220.0,1920.0,0.0,10.200022,56.138963
104236,"Rudolph Wulffs Gade 14, ST. TH",8000 Aarhus C,440000,1992-05-08,Alm. Salg,6470.0,2.0,Lejlighed,68.0,1945.0,0.0,10.184744,56.140454
104237,"Skovvejen 44E, ST. TH",8000 Aarhus C,835000,1992-05-07,Alm. Salg,10437.0,3.0,Lejlighed,80.0,1936.0,0.0,10.219359,56.167882
104238,"Østergade 4, 4",8000 Aarhus C,23500000,1992-05-06,Alm. Salg,,3.0,Lejlighed,80.0,1933.0,0.0,10.2047,56.154422
104239,Ny Munkegade 5,8000 Aarhus C,1355000,1992-05-01,Alm. Salg,11483.0,8.0,Rækkehus,118.0,1881.0,0.0,10.203795,56.160262
104240,"Carl Blochs Gade 33, ST. TH",8000 Aarhus C,668000,1992-05-01,Alm. Salg,6072.0,4.0,Lejlighed,110.0,1920.0,0.0,10.194068,56.154925
104241,"Stadion Allé 23, ST. TV",8000 Aarhus C,541645,1992-04-15,Alm. Salg,7965.0,2.0,Lejlighed,68.0,1929.0,0.0,10.194591,56.142273
104242,Skt. Pauls Gade 46,8000 Aarhus C,1116900,1992-04-06,Alm. Salg,5878.0,8.0,Rækkehus,190.0,1898.0,0.0,,
104243,"Gustav Wieds Vej 27, 3. TV",8000 Aarhus C,486500,1992-04-04,Alm. Salg,7722.0,2.0,Lejlighed,63.0,1952.0,0.0,10.195977,56.169167
104244,"Stadion Allé 23, 2. TH",8000 Aarhus C,724000,1992-04-02,Alm. Salg,7387.0,3.0,Lejlighed,98.0,1929.0,0.0,10.194591,56.142273
104245,Samsøgade 13,8000 Aarhus C,273124,1992-04-02,Alm. Salg,1468.0,6.0,Rækkehus,186.0,1894.0,0.0,10.204039,56.163266
104246,"Høegh-Guldbergs Gade 55, 2",8000 Aarhus C,371000,1992-03-30,Auktion,2084.0,4.0,Lejlighed,178.0,1894.0,0.0,10.209039,56.16297
104247,"Strandvejen 36, ST. TH",8000 Aarhus C,372000,1992-03-30,Alm. Salg,2227.0,6.0,Lejlighed,167.0,1908.0,0.0,10.208505,56.145777
104248,"Heibergsgade 1C, 3. TV",8000 Aarhus C,522000,1992-03-24,Alm. Salg,,2.0,Lejlighed,68.0,1937.0,0.0,10.207844,56.147158
104249,"Søndre Ringgade 77, 2. TH",8000 Aarhus C,472500,1992-03-18,Alm. Salg,7052.0,2.0,Lejlighed,67.0,1938.0,0.0,10.185713,56.146339
104250,"Østboulevarden 21, 2",8000 Aarhus C,450000,1992-03-10,Alm. Salg,8490.0,2.0,Lejlighed,53.0,1903.0,0.0,10.212839,56.164554
104251,"Brammersgade 10, 2",8000 Aarhus C,495000,1992-03-09,Alm. Salg,8839.0,2.0,Lejlighed,56.0,1897.0,0.0,10.203223,56.147055
104252,"Marselis Boulevard 132, 1. 1",8000 Aarhus C,457000,1992-03-08,Alm. Salg,8309.0,2.0,Lejlighed,55.0,1942.0,0.0,10.181017,56.139685
104253,Dybbølgade 7,8000 Aarhus C,760000,1992-03-06,Alm. Salg,6725.0,4.0,Rækkehus,113.0,1883.0,0.0,10.200233,56.148589
104254,"Høegh-Guldbergs Gade 47, 2. TV",8000 Aarhus C,610000,1992-02-27,Alm. Salg,,4.0,Lejlighed,101.0,1918.0,0.0,10.209796,56.162688
104255,"Guldsmedgade 8A, 1",8000 Aarhus C,1950000,1992-02-26,Alm. Salg,25324.0,3.0,Lejlighed,77.0,1889.0,0.0,10.20734,56.158296
104256,"Odensegade 33, 4",8000 Aarhus C,560000,1992-02-12,Alm. Salg,9333.0,3.0,Lejlighed,60.0,1901.0,0.0,10.201535,56.145117
104257,"Klostergade 72, ST",8000 Aarhus C,416500,1992-01-30,Alm. Salg,6717.0,2.0,Lejlighed,62.0,1902.0,0.0,10.203348,56.158708
104258,"Grønnegade 82, 2. 9",8000 Aarhus C,1650000,1992-01-29,Fam. Salg,31132.0,1.0,Lejlighed,53.0,1970.0,0.0,10.199785,56.16098
104259,"Møllevejen 25, ST. TH",8000 Aarhus C,733000,1992-01-27,Alm. Salg,,4.0,Lejlighed,108.0,1969.0,0.0,10.194435,56.15914
104260,"Frederiks Allé 110, 1",8000 Aarhus C,229500,1992-01-21,Fam. Salg,1961.0,5.0,Lejlighed,117.0,1876.0,0.0,10.196016,56.147952
104261,Skovbrynet 24,8000 Aarhus C,1080000,1992-01-20,Alm. Salg,9230.0,5.0,Rækkehus,117.0,1923.0,0.0,10.197001,56.13782
104262,"Marselis Boulevard 38, 6. 601",8000 Aarhus C,830232,1992-01-13,Alm. Salg,6195.0,4.0,Lejlighed,134.0,1966.0,0.0,10.196882,56.140993
